0,1,2,3,4,5,6,7,8,9
242,0,4,0,0,1,1,0,8,2
0,227,3,0,0,1,0,1,17,9
0,10,213,5,0,0,2,4,23,1
0,2,2,234,0,2,0,2,11,5
0,2,0,0,222,1,1,4,6,22
2,0,2,5,0,208,4,0,31,6
0,1,0,0,1,3,245,0,8,0
0,3,1,1,0,1,0,235,11,6
1,1,3,3,0,1,0,1,246,2
0,10,0,7,4,0,0,2,8,227
