0,1,2,3,4,5,6,7,8,9
256,0,0,1,0,0,1,0,0,0
0,247,4,0,0,0,0,2,1,4
0,2,248,1,0,0,1,4,2,0
0,0,0,246,0,4,1,1,2,4
0,1,0,0,247,0,1,1,0,8
0,0,0,2,0,250,0,0,3,3
2,0,0,0,0,4,249,0,3,0
0,2,2,0,0,1,0,252,0,1
0,2,3,1,0,1,2,1,244,4
0,5,0,3,4,0,0,4,0,242
