0,1,2,3,4,5,6,7,8,9
256,1,0,0,0,0,1,0,0,0
0,254,0,0,0,0,0,1,2,1
0,1,255,0,0,0,0,2,0,0
0,0,0,254,0,4,0,0,0,0
0,0,0,0,250,0,0,1,1,6
0,1,0,3,0,254,0,0,0,0
0,0,0,0,0,1,254,0,3,0
0,2,0,0,0,0,0,255,0,1
1,1,1,1,0,0,1,0,252,1
0,4,0,1,1,2,0,3,0,247
