mean_test_score,mean_train_score,std_test_score,std_train_score,param_C,param_coef0,mean_fit_time
0.876,0.996505420324128,0.023334752202093707,0.0014045817663991057,10,1,0.49920090039571124
0.879,0.9960049198236276,0.019659863882396763,0.0018667584752453553,1,4,0.42640074094136554
0.88,0.9280199506814744,0.004582198478549025,0.00405301251859079,1,1,0.4888007640838623
0.88,1.0,0.018430312530751985,0.0,50,5,0.47320079803466797
0.88,1.0,0.018430312530751985,0.0,10,5,0.45760083198547363
0.88,1.0,0.018430312530751985,0.0,5,5,0.4160006841023763
0.88,1.0,0.018430312530751985,0.0,100,5,0.47320087750752765
0.881,1.0,0.018497282878125892,0.0,5,3,0.47320087750752765
0.881,1.0,0.018497282878125892,0.0,100,3,0.47840094566345215
0.881,1.0,0.023384870145288773,0.0,100,1,0.5148007869720459
0.881,1.0,0.018497282878125892,0.0,50,4,0.5044008096059164
0.881,1.0,0.018497282878125892,0.0,50,3,0.49920090039571124
0.881,1.0,0.018497282878125892,0.0,10,4,0.4836009343465169
0.881,1.0,0.023384870145288773,0.0,50,1,0.5252008438110352
0.881,1.0,0.018497282878125892,0.0,5,4,0.47840086619059247
0.881,1.0,0.018497282878125892,0.0,100,4,0.5200009346008301
0.881,1.0,0.018497282878125892,0.0,10,3,0.47320087750752765
0.883,1.0,0.019802050146780072,0.0,50,2,0.4836009343465169
0.883,1.0,0.019802050146780072,0.0,10,2,0.45760075251261395
0.883,1.0,0.019802050146780072,0.0,100,2,0.5200007756551107
0.884,0.9860134223682921,0.013845154004827623,0.003491209072204925,1,3,0.47320087750752765
0.885,0.9984962337903515,0.018699496838677637,0.0012259750257707272,5,2,0.4420008659362793
0.885,0.998998998998999,0.020322583929227676,0.0014156291915646802,1,5,0.45240076382954914
0.886,0.9700277723421408,0.008686338120778452,0.006360926324734232,1,2,0.45240076382954914
0.886,0.9790122745764019,0.010155150960607612,0.004371366417354847,5,1,0.4888007640838623
