in_sample_acc,validation_acc
0.901481392267855,0.8998073217726397
0.9232807419005179,0.9142581888246628
0.9266530169818138,0.9128131021194605
0.9423100084306877,0.9315992292870906
0.9476092978441527,0.9340077071290944
0.9577261230880405,0.9378612716763006
0.9661568107912802,0.9431599229287091
0.9635071660845478,0.9446050096339114
0.9721787305793087,0.9489402697495183
0.9751896904733229,0.9446050096339114
0.9729013609538721,0.9455684007707129
0.9753101288690834,0.9489402697495183
0.9786824039503794,0.9527938342967245
0.9810911718655908,0.9484585741811176
0.9812116102613513,0.9576107899807321
0.9825364326147176,0.9542389210019268
0.9860291460917741,0.9571290944123314
0.9869926532578586,0.958092485549133
0.9883174756112248,0.9585741811175337
0.9839816933638444,0.9518304431599229
0.9874744068409009,0.9576107899807321
0.9875948452366614,0.9561657032755299
0.9896422979645911,0.958092485549133
0.9897627363603517,0.9494219653179191
0.9910875587137179,0.9595375722543352
0.9927736962543658,0.958092485549133
0.9922919426713236,0.9595375722543352
0.9943393953992533,0.9624277456647399
0.9914488739009997,0.9595375722543352
0.9903649283391546,0.9614643545279383
