mean_test_score,mean_train_score,std_test_score,std_train_score,param_C,mean_fit_time
0.787,0.8184882823841644,0.04255664971023277,0.023396138835868982,0.001,0.9817206859588623
0.862,1.0,0.020157842357189204,0.0,1,0.4866945743560791
0.862,1.0,0.020157842357189204,0.0,5,0.49669504165649414
0.862,1.0,0.020157842357189204,0.0,10,0.4976950486501058
0.862,1.0,0.020157842357189204,0.0,50,0.48736119270324707
0.862,1.0,0.020157842357189204,0.0,100,0.4710250695546468
0.863,0.998498471497932,0.025218643403535888,0.0012296799610735443,0.1,0.44469213485717773
0.873,0.9440195860309148,0.031085267055770284,0.013342684766588236,0.01,0.45969295501708984
