mean_test_score,mean_train_score,std_test_score,std_train_score,param_C,param_gamma,mean_fit_time
0.881,1,0.016339875,0,1,0.1,0.368177334
0.881,1,0.016339875,0,1,1,0.386578639
0.881,1,0.016339875,0,10,0.01,0.379693985
0.881,1,0.016339875,0,10,0.1,0.380957683
0.881,1,0.016339875,0,10,1,0.373842001
0.881,1,0.016339875,0,100,0.01,0.36395963
0.881,1,0.016339875,0,100,0.1,0.368033965
0.881,1,0.016339875,0,100,1,0.260968685
0.885,0.992004578,0.022914021,0.002542516,1,0.01,0.350702286
